,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
0,2801 N 15th Ave,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, False, yes_free, {'monday': False, 'tuesday': True, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, False, False, None, None, False, False, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}, average, None, True, casual, None, False, True, 1, False, False, True, outdoor, True, no)",_c3ixq9jYKxhLUB0czi0ug,"Bars, Sports Bars, Dive Bars, Burgers, Nightlife, Sandwiches, Restaurants",Phoenix,"(11:0-23:0, 11:0-22:0, 11:0-22:0, 11:0-21:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.4798071,-112.0911877,Original Hamburger Works,,85007,277,4.0,AZ
1,4131 N 83rd Ave,"(None, None, None, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, None, False, None, None, None, None, False, False, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}, average, None, False, casual, None, None, None, 1, None, True, True, None, None, free)",3ByGQOVgds2YEu6kzl-XEQ,"Nightlife, Bars, American (Traditional), Sports Bars, Restaurants",Phoenix,,1,33.4952976,-112.2360764,Rib Shop,,85033,3,2.5,AZ
2,7745 W Thomas Rd,"(None, None, None, None, None, None, None, None, None, True, None, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, None, None, False, casual, None, False, True, 1, False, None, True, None, None, no)",CeuTRtwsq6w5rztGOyNMPg,"Mexican, Restaurants",Phoenix,,1,33.4796712,-112.2251729,Salsitas,,85033,14,2.5,AZ
3,4145 N 83Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 1, False, False, True, None, True, no)",AcGRSWCpb7YB95MTsHlGEw,"Pizza, Fast Food, Restaurants",Phoenix,"(10:30-23:0, 10:30-22:0, 10:30-23:0, 10:30-22:0, 10:30-22:0, 10:30-22:0, 10:30-22:0)",1,33.4954215852,-112.235797843,Little Caesars Pizza,,85033,4,2.0,AZ
4,1111 W Bell Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, False, casual, None, False, True, 2, True, True, True, None, True, free)",cKRMmytHxaSt8F0SMEzKqg,"Event Planning & Services, Soup, Salad, Mexican, Caterers, Restaurants",Phoenix,"(11:0-23:0, 11:0-22:0, 8:0-23:0, 8:0-23:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.6397742,-112.0877381,Manuel's Mexican Restaurant & Cantina - Bell Rd,,85023,230,3.5,AZ
5,4716 E Ray Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, False, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, True, 1, False, False, True, None, None, None)",8vA1d9_w4hBjOcrM7mNWFg,"American (Traditional), Comfort Food, Barbeque, Restaurants",Phoenix,"(11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0, 11:0-22:0)",1,33.3202518,-111.9828733,Boston Market,,85044,28,3.5,AZ
6,"1301 W Grand Ave, Ste 1","(None, None, full_bar, {'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, None, False, None, None, None, None, None, None, False, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, False, 2, True, True, False, None, None, no)",sh69ApUyPhAltAMpv5vX3w,"Mexican, Restaurants",Phoenix,"(17:0-22:30, None, 17:0-22:30, 17:0-21:0, 17:0-22:0, 17:0-22:0, 17:0-22:0)",1,33.4573881,-112.0897301,Barrio Cafe Gran Reserva,,85007,117,4.5,AZ
7,,"(None, None, none, None, None, None, None, False, False, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, True, None, None, None, True, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, None, None, True, None, None, False, True, 1, False, False, True, None, True, no)",C4eRHCr7u-cv8B7OaMQKsg,"Mexican, Breakfast & Brunch, Sandwiches, Event Planning & Services, Food Trucks, Restaurants, Food, Caterers",Phoenix,"(4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0, 4:30-2:0)",0,33.4499672,-112.0702225,Quickies Mobile Foods,,85001,3,5.0,AZ
8,17031 N Tatum Blvd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, True, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, False, True, 1, False, False, True, None, None, no)",bVl0_l6sCwjADKRLGxsXAw,"Fast Food, Restaurants, Sandwiches, American (New)",Phoenix,,1,33.641684,-111.977,Arby's,,85032,19,2.5,AZ
9,3626 E Indian School Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, False, None, None, None, None, False, None, None, None, True, True, {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}, average, None, True, None, None, None, True, 1, False, None, None, outdoor, True, None)",wcNvlrB5xSxzXex2M3UyvQ,"Nightlife, Sports Bars, Bars, Restaurants, Karaoke",Phoenix,"(11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0, 11:0-2:0)",0,33.495639801,-112.003173828,Hazelwoods First Place Sports Grill,,85018,116,3.0,AZ
10,1609 E Bell Rd.,"(None, None, full_bar, None, None, None, None, None, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, None, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, True, None, quiet, None, False, casual, False, False, True, 2, None, True, True, None, True, None)",vFnzV9uy9nEXFQgkSuv_AQ,"Indian, Pakistani, Restaurants",Phoenix,,0,33.6398283,-112.0472243,Taste of India,,85022,25,2.0,AZ
11,375 E Bell Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 2, False, False, True, None, True, free)",BUcyHikUyo4U12-3RvDKlg,"Restaurants, Breakfast & Brunch, Food, Bakeries",Phoenix,"(6:0-21:0, 6:0-21:0, 6:0-21:0, 6:0-18:0, 6:0-21:0, 6:0-21:0, 6:0-21:0)",0,33.6400536994,-112.067994484,Paradise Bakery and Cafe,,85022,91,2.5,AZ
12,4707 E Shea Blvd,"(None, None, None, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, None, None, None, None, None, None, None, None, casual, None, True, True, 2, False, None, True, None, True, free)",nUaLFTfUqVKMFQonsWBnag,"Restaurants, Food, Bakeries, Grocery, Delis, Beer, Wine & Spirits",Phoenix,"(10:0-20:0, 10:0-20:0, 10:0-20:0, 12:0-18:0, 10:0-20:0, 10:0-20:0, 10:0-20:0)",1,33.580882,-111.978891,Fry's,,85028,147,4.0,AZ
13,13825 N 32nd St,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, False, True, 2, False, True, True, None, True, no)",fnaDx7UD4MiodQlgYHDwsQ,"Restaurants, Chinese",Phoenix,"(17:0-21:30, 17:0-21:30, 14:0-21:30, 16:0-21:0, 17:0-21:30, 17:0-21:30, 17:0-21:30)",1,33.6124852,-112.012193,Dragon Palace,,85032,192,4.0,AZ
14,3510 E Bell Rd,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, None, None, False, None, quiet, None, False, casual, None, False, True, 2, False, True, True, None, None, free)",fXzMs__3HjTYwKPMAb4jYA,"Thai, Restaurants",Phoenix,"(11:0-21:0, 11:0-21:0, 11:0-21:0, 11:0-21:0, 11:0-21:0, 11:0-21:0, 11:0-21:0)",1,33.641201,-112.0067284,Tom Yum Thai Restaurant,,85032,127,4.0,AZ
15,"Paradise Valley Mall, 4550 E Cactus Rd","(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, False, True, {'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, True, None, None, True, {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, True, casual, None, False, True, 1, False, False, True, None, True, free)",8NMf2dCmEGGKYR3SbMcnNA,"Caterers, Restaurants, Event Planning & Services, French, American (New), Creperies, Vegetarian, Desserts, Food",Phoenix,"(11:0-21:0, 11:0-21:0, 11:0-21:0, 11:0-18:0, 11:0-21:0, 11:0-21:0, 11:0-21:0)",0,33.6027450137,-111.983224221,Moga Crepes,,85032,11,4.0,AZ
16,"1515 N 7th Ave, Ste 152","(None, None, beer_and_wine, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}, None, True, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, True, None, average, None, True, casual, None, False, True, 2, False, True, True, None, None, free)",Me_pYtoAeA2IkO8jOBi4HA,"Restaurants, Chicken Wings",Phoenix,"(10:30-0:0, 10:30-0:0, 10:30-0:0, 10:30-0:0, 10:30-0:0, 10:30-0:0, 10:30-0:0)",1,33.4654804,-112.0822062,Wingstop,,85007,15,3.5,AZ
17,,"(None, None, None, None, None, None, None, None, None, True, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1, None, None, None, None, None, None)",xePudDnTVh8CART_p0nlxQ,"Food Trucks, Food, Restaurants",Phoenix,,1,33.2909097,-112.0357137,Hungry Street Grille,,85048,3,4.5,AZ
18,502 E Thunderbird Rd,"(None, None, full_bar, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, True, None, None, None, True, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}, None, None, True, None, average, None, True, casual, None, True, True, 1, True, True, True, None, True, free)",bVqNtwcwIz2gAacHWYF2lw,"Breakfast & Brunch, Restaurants, Cafes, American (Traditional)",Phoenix,"(6:0-21:0, 6:0-14:30, 6:0-14:30, 7:0-14:30, 6:0-14:30, 6:0-14:30, 6:0-14:30)",1,33.6080946,-112.0663073,Moon Valley Cafe,,85022,133,3.5,AZ
19,4630 E Van Buren St,"(None, None, none, {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, None, None, None, True, None, True, {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, None, False, None, None, None, None, None, None, True, {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, None, None, False, None, average, None, False, casual, None, False, True, 1, False, True, True, None, True, no)",w96oa6oQk2kolYfy8Ja2Mw,"Mexican, Restaurants",Phoenix,,1,33.4513418,-111.9810917,Los Jarritos Restaurant,,85008,16,3.0,AZ
